"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","Ad impression share","Organic impression share","Organic average position","In account?","In plan?","Searches: May 2025","Searches: Jun 2025","Searches: Jul 2025","Searches: Aug 2025","Searches: Sep 2025","Searches: Oct 2025","Searches: Nov 2025","Searches: Dec 2025","Searches: Jan 2026","Searches: Feb 2026","Searches: Mar 2026","Searches: Apr 2026"
"adb deep link","USD","500","-90%","-90%","Low","1","","","","","","","","","","","","","","","","","","",""
"adb test deep link","USD","50","0%","0%","Low","1","","","","","","","","","","","","","","","","","","",""
"adjust deep link vs branch","USD","","--","--","Unknown","","","","","","","","","","","","","","","","","","","",""
"android 12 deep link","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android 13 deeplink","USD","50","∞","∞","Low","0","","","","","","","","","","","","","","","","","","",""
"android adb open deeplink","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android app deeplink","USD","50","0%","-90%","Low","7","0.56","3.44","","","","","","","","","","","","","","","","",""
"android app link generator","USD","50","∞","0%","Low","10","","","","","","","","","","","","","","","","","","",""
"android app links vs deep links","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android chrome deeplink","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android compose deeplink","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android create deep link","USD","50","-100%","-100%","Unknown","","","","","","","","","","","","","","","","","","","",""
"android deep link","USD","5000","0%","0%","Low","2","0.85","3.82","","","","","","","","","","","","","","","","",""
"android deep link app not installed","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android deep link autoverify","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android deep link example","USD","50","0%","0%","Low","1","","","","","","","","","","","","","","","","","","",""
"android deep link format","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android deep link from browser","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android deep link not opening app","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android deep link open app","USD","50","∞","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android deep link to another app","USD","50","0%","-100%","Unknown","","","","","","","","","","","","","","","","","","","",""
"android deep link url example","USD","50","-100%","0%","Unknown","","","","","","","","","","","","","","","","","","","",""
"android deep link vs app link","USD","50","-100%","-100%","Unknown","","","","","","","","","","","","","","","","","","","",""
"android deeplinks","USD","50","0%","0%","Low","4","","","","","","","","","","","","","","","","","","",""
"android deferred deep link","USD","500","0%","-90%","Low","5","","","","","","","","","","","","","","","","","","",""
"android open deep link from browser","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"android play store deeplink","USD","50","0%","0%","Low","5","","","","","","","","","","","","","","","","","","",""
"android universal links","USD","500","0%","0%","Low","1","","","","","","","","","","","","","","","","","","",""
"android webview deep link","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"app deep link example","USD","50","0%","0%","Medium","57","","","","","","","","","","","","","","","","","","",""
"app deep link generator","USD","50","0%","0%","Low","19","","","","","","","","","","","","","","","","","","",""
"app deep linking","USD","5000","0%","-90%","Low","12","1.53","7.17","","","","","","","","","","","","","","","","",""
"app deep linking seo","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"app deeplink generator","USD","50","∞","0%","Low","29","","","","","","","","","","","","","","","","","","",""
"app deeplinking","USD","5000","0%","-90%","Low","12","1.53","7.17","","","","","","","","","","","","","","","","",""
"app download link generator","USD","50","0%","0%","Low","3","","","","","","","","","","","","","","","","","","",""
"app link generator","USD","500","0%","0%","Low","7","0.11","0.30","","","","","","","","","","","","","","","","",""
"app link maker","USD","50","0%","0%","Low","12","","","","","","","","","","","","","","","","","","",""
"app links vs deep links android","USD","","--","--","Unknown","","","","","","","","","","","","","","","","","","","",""
"app to app deep linking","USD","50","0%","0%","Low","10","","","","","","","","","","","","","","","","","","",""
"applink vs deep link","USD","50","0%","0%","Low","0","","","","","","","","","","","","","","","","","","",""
"appsflyer deeplink android","USD","50","0%","0%","Low","3","","","","","","","","","","","","","","","","","","",""
"appsflyer deferred deep linking","USD","500","0%","0%","Low","24","2.47","18.46","","","","","","","","","","","","","","","","",""
"appsflyer deferred deep linking ios","USD","50","0%","0%","Low","12","","","","","","","","","","","","","","","","","","",""
"appsflyer udl","USD","50","0%","0%","Low","6","","","","","","","","","","","","","","","","","","",""
"appstore deeplink","USD","50","0%","0%","Low","3","","","","","","","","","","","","","","","","","","",""
